선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
루카스 하렐,MLB,2010,24.0,24.0,5.036,5.036,-0.0,3.0778
루카스 하렐,MLB,2011,18.0,18.0,2.859,2.859,0.0,3.0254
루카스 하렐,MLB,2012,193.667,193.667,3.745,3.745,0.0,3.0945
루카스 하렐,MLB,2013,153.667,153.667,5.417,5.417,0.0,3.0479
루카스 하렐,MLB,2014,12.333,12.333,5.97,5.97,0.0,3.1323
루카스 하렐,AAA,2009,65.667,65.667,4.239,4.292,-0.052,3.0971
루카스 하렐,AAA,2010,137.667,137.667,4.334,4.512,-0.177,3.0778
루카스 하렐,AAA,2014,106.667,106.667,5.645,6.213,-0.568,3.1323
조쉬 스틴슨,MLB,2011,13.0,13.0,4.41,4.41,0.0,3.0254
조쉬 스틴슨,MLB,2012,9.333,9.333,5.452,5.452,0.0,3.0945
조쉬 스틴슨,MLB,2013,17.0,17.0,5.401,5.401,0.0,3.0479
조쉬 스틴슨,MLB,2014,13.0,13.0,6.055,6.055,0.0,3.1323
조쉬 스틴슨,AAA,2010,28.0,28.0,4.756,4.934,-0.177,3.0778
조쉬 스틴슨,AAA,2011,61.667,61.667,5.117,5.329,-0.211,3.0254
조쉬 스틴슨,AAA,2013,131.0,131.0,4.14,4.296,-0.157,3.0479
조쉬 스틴슨,AAA,2014,85.333,85.333,4.937,5.162,-0.225,3.1323
에반 믹,MLB,2008,13.0,13.0,8.055,8.055,-0.0,3.132
에반 믹,MLB,2009,47.0,47.0,3.714,3.714,0.0,3.0971
에반 믹,MLB,2010,80.0,80.0,3.453,3.453,-0.0,3.0778
에반 믹,MLB,2011,20.667,20.667,3.751,3.751,0.0,3.0254
에반 믹,MLB,2012,12.0,12.0,4.595,4.594,0.0,3.0945
에반 믹,MLB,2014,23.333,23.333,5.104,5.104,0.0,3.1323
에반 믹,AAA,2008,41.333,41.333,3.132,3.323,-0.191,3.132
에반 믹,AAA,2009,8.667,8.667,3.905,3.957,-0.052,3.0971
에반 믹,AAA,2011,8.0,8.0,1.4,1.612,-0.211,3.0254
에반 믹,AAA,2012,46.0,46.0,4.116,4.183,-0.067,3.0945
에반 믹,AAA,2013,108.0,108.0,4.233,4.755,-0.522,3.0479
