선수명,status,url,n_seasons_pre_kbo,tried_n
샘 가빌리오,matched,http://www.claydavenport.com/pt/G/GAVIGLIO19900522A.shtml,19,
조시 스미스,matched,http://www.claydavenport.com/pt/S/SMITH19870807A.shtml,21,
로버트 스탁,matched,http://www.claydavenport.com/pt/S/STOCK19891121A.shtml,23,
브랜던 워델,matched,http://www.claydavenport.com/pt/W/WADDELL19940603A.shtml,20,
앨버트 수아레즈,matched,http://www.claydavenport.com/pt/S/SUAREZ19891008A.shtml,21,
로니 윌리엄스,matched,http://www.claydavenport.com/pt/W/WILLIAMS19960106A.shtml,13,
션 놀린,matched,http://www.claydavenport.com/pt/N/NOLIN19891226A.shtml,23,
토마스 파노니,matched,http://www.claydavenport.com/pt/P/PANNONE19940428A.shtml,15,
찰리 반스,matched,http://www.claydavenport.com/pt/B/BARNES19951001A.shtml,12,
글렌 스파크맨,matched,http://www.claydavenport.com/pt/S/SPARKMAN19920511A.shtml,19,
예프리 라미레즈,matched,http://www.claydavenport.com/pt/R/RAMIREZ19931128A.shtml,17,
펠릭스 페냐,matched,http://www.claydavenport.com/pt/P/PENA19900225A.shtml,18,
맷 더모디,matched,http://www.claydavenport.com/pt/D/DERMODY19900704A.shtml,18,
웨스 벤자민,matched,http://www.claydavenport.com/pt/B/BENJAMIN19930726A.shtml,12,
이반 노바,matched,http://www.claydavenport.com/pt/N/NOVA19870112A.shtml,24,
숀 모리만도,matched,http://www.claydavenport.com/pt/M/MORIMANDO19921120A.shtml,18,
타일러 애플러,matched,http://www.claydavenport.com/pt/E/EPPLER19930105A.shtml,11,
딜런 파일,matched,http://www.claydavenport.com/pt/F/FILE19960604A.shtml,12,
테일러 와이드너,matched,http://www.claydavenport.com/pt/W/WIDENER19941024A.shtml,15,
아도니스 메디나,matched,http://www.claydavenport.com/pt/M/MEDINA19961218A.shtml,11,
숀 앤더슨,matched,http://www.claydavenport.com/pt/A/ANDERSON19941029A.shtml,21,
마리오 산체스,matched,http://www.claydavenport.com/pt/S/SANCHEZ19941031A.shtml,13,
애런 윌커슨,unresolved,,,8
버치 스미스,matched,http://www.claydavenport.com/pt/S/SMITH19900412A.shtml,20,
리카르도 산체스,matched,http://www.claydavenport.com/pt/S/SANCHEZ19970411A.shtml,12,
에릭 페디,matched,http://www.claydavenport.com/pt/F/FEDDE19930225A.shtml,21,
태너 털리,matched,http://www.claydavenport.com/pt/T/TULLY19941130A.shtml,16,
보 슐서,matched,http://www.claydavenport.com/pt/S/SULSER19940505A.shtml,14,
커크 맥카티,matched,http://www.claydavenport.com/pt/M/MCCARTY19951012A.shtml,13,
에니 로메로,matched,http://www.claydavenport.com/pt/R/ROMERO19910124A.shtml,29,
로에니스 엘리아스,unresolved,,,8
아리엘 후라도,matched,http://www.claydavenport.com/pt/J/JURADO19960130A.shtml,14,
이안 맥키니,matched,http://www.claydavenport.com/pt/M/MCKINNEY19941118A.shtml,18,
시라카와 케이쇼,matched,http://www.claydavenport.com/pt/S/SHIRAKAWA20010604A.shtml,0,
조던 발라조빅,matched,http://www.claydavenport.com/pt/B/BALAZOVIC19980917A.shtml,10,
코너 시볼드,matched,http://www.claydavenport.com/pt/S/SEABOLD19960124A.shtml,19,
데니 레예스,matched,http://www.claydavenport.com/pt/R/REYES19961102A.shtml,13,
디트릭 엔스,matched,http://www.claydavenport.com/pt/E/ENNS19910516A.shtml,20,
엘리에이저 에르난데스,matched,http://www.claydavenport.com/pt/H/HERNANDEZ19950503A.shtml,26,
윌 크로우,matched,http://www.claydavenport.com/pt/C/CROWE19940909A.shtml,17,
캠 알드레드,matched,http://www.claydavenport.com/pt/A/ALLDRED19960725A.shtml,12,
에릭 스타우트,matched,http://www.claydavenport.com/pt/S/STOUT19930327A.shtml,23,
에릭 라우어,matched,http://www.claydavenport.com/pt/L/LAUER19950603A.shtml,20,
제임스 네일,matched,http://www.claydavenport.com/pt/N/NAILE19930208A.shtml,20,
다니엘 카스타노,matched,http://www.claydavenport.com/pt/C/CASTANO19940917A.shtml,19,
카일 하트,matched,http://www.claydavenport.com/pt/H/HART19921123A.shtml,17,
라이언 와이스,matched,http://www.claydavenport.com/pt/W/WEISS19961210A.shtml,14,
하이메 바리아,matched,http://www.claydavenport.com/pt/B/BARRIA19960718A.shtml,16,
로버트 더거,matched,http://www.claydavenport.com/pt/D/DUGGER19950703A.shtml,19,
