선수명,연도,팀,release_date,outcome_category,resigned_next_year,resigned_as_asia_quota
디트릭 엔스,2024,LG,,완주-재계약안됨,N,
엘리에이저 에르난데스,2024,LG,,완주-재계약됨(일반슬롯),Y,N
윌 크로우,2024,KIA,2024-08-05,조기방출,N,
캠 알드레드,2024,KIA,2024-08-05,조기방출,N,
에릭 스타우트,2024,KIA,2024-09-30,시즌후_자연종료,N,
에릭 라우어,2024,KIA,,완주-재계약안됨,N,
제임스 네일,2024,KIA,,완주-재계약됨(일반슬롯),Y,N
다니엘 카스타노,2024,NC,2024-07-28,조기방출,N,
카일 하트,2024,NC,,완주-재계약안됨,N,
라이언 와이스,2024,한화,,완주-재계약됨(일반슬롯),Y,N
하이메 바리아,2024,한화,,완주-재계약안됨,N,
로버트 더거,2024,SSG,2024-04-27,조기방출,N,
드류 앤더슨,2024,SSG,,완주-재계약됨(일반슬롯),Y,N
엔마누엘 데 헤이수스,2024,키움,,완주-재계약됨(일반슬롯),Y,N
콜 어빈,2025,두산,,완주-재계약안됨,N,
잭 로그,2025,두산,,완주-재계약됨(일반슬롯),Y,N
헤르손 가라비토,2025,삼성,,완주-재계약안됨,N,
요니 치리노스,2025,LG,,완주-재계약됨(일반슬롯),Y,N
앤더스 톨허스트,2025,LG,,완주-재계약됨(일반슬롯),Y,N
애덤 올러,2025,KIA,,완주-재계약됨(일반슬롯),Y,N
터커 데이비드슨,2025,롯데,,완주-재계약안됨,N,
빈스 벨라스케즈,2025,롯데,,완주-재계약안됨,N,
알렉 감보아,2025,롯데,,완주-재계약안됨,N,
코디 폰세,2025,한화,,완주-재계약안됨,N,
로건 앨런,2025,NC,,완주-재계약됨(일반슬롯),Y,N
라일리 톰프슨,2025,NC,,완주-재계약됨(일반슬롯),Y,N
패트릭 머피,2025,kt,,완주-재계약안됨,N,
미치 화이트,2025,SSG,,완주-재계약됨(일반슬롯),Y,N
케니 로젠버그,2025,키움,2025-07-30,조기방출,Y,N
라클란 웰스,2025,키움,,완주-재계약됨(아시아쿼터),Y,Y
C.C 메르세데스,2025,키움,,완주-재계약안됨,N,
