선수명,english_name,fangraphs_id,mlb_war_career_pre_kbo,n_mlb_seasons_pre_kbo
버치 스미스,Burch Taylor Smith,12784,-0.39,5
리카르도 산체스,Ricardo Jose Sánchez,17581,-0.109,1
에릭 페디,Erick James Fedde,17425,1.397,6
태너 털리,Tanner Paul Tully,19518,-0.138,1
보 슐서,Beau Grayson Sulser,23420,-0.035,1
커크 맥카티,Kirkland Kirk McCarty,20555,-0.824,1
로에니스 엘리아스,Roenis Elías,12673,2.283,7
아리엘 후라도,Ariel Bolívar Jurado Agrazal,17030,1.311,3
이안 맥키니,Ian McKinney,sa738318,,0
조던 발라조빅,Jordan Balazovic,21866,-0.37,1
코너 시볼드,Connor Seabold,19695,-0.474,3
데니 레예스,Denyi Reyes,20526,0.23,2
디트릭 엔스,Dietrich Arthur Enns,13932,0.45,2
엘리에이저 에르난데스,Elieser Hernández,16933,-0.651,5
윌 크로우,William Chandler Crowe,19800,-1.009,4
캠 알드레드,Cam Alldred,25078,0.031,1
에릭 스타우트,Eric Stout,16873,-0.257,2
에릭 라우어,Eric Lauer,19316,4.838,6
제임스 네일,James Aubrey Naile,18186,-0.15,2
다니엘 카스타노,Daniel Alexander Castano,19805,0.232,4
카일 하트,Kyle Patrick Hart,19646,-0.244,1
라이언 와이스,Ryan Weiss,24621,,0
하이메 바리아,Jaime Barria,18356,1.377,6
로버트 더거,Robert Lee Dugger,19191,-0.508,4
드류 앤더슨,Andrew James Anderson,15130,0.21,5
엔마누엘 데 헤이수스,Enmanuel Jose De Jesus,18554,0.002,1
콜 어빈,Cole Irvin,19244,4.359,6
잭 로그,Zach Logue,20231,-0.523,3
헤르손 가라비토,Gerson Yeris Garabito,19835,-0.141,1
요니 치리노스,Yonny Chirinos,16401,2.393,6
앤더스 톨허스트,Anders William Tolhurst,sa3019818,,0
애덤 올러,Adam Oller,20132,-1.613,3
터커 데이비드슨,Tucker Davidson,19871,-0.199,5
빈스 벨라스케즈,Vincent John Velasquez,11189,8.005,9
알렉 감보아,Alec Gamboa,26227,,0
코디 폰세,Cody Ponce,17920,-0.356,2
로건 앨런,Logan Allen,18555,-0.417,5
라일리 톰프슨,Riley Thompson,sa876287,,0
패트릭 머피,Patrick Murphy,19712,0.215,3
미치 화이트,Mitch White,19225,1.446,5
라클란 웰스,Lachlan Robert Wells,sa877857,,0
C.C 메르세데스,Cristopher Crisostomo Mercedes,sa657880,,0
재크 스튜어트,Zach Stewart,7397,-0.649,2
알렉산드로 마에스트리,Alessandro Maestri,sa328310,,0
제이콥 터너,Jacob Turner,10185,-0.315,7
채드 벨,Chad Bell,10297,-0.256,2
마이크 라이트,Mike Wright Jr.,12586,-0.205,5
조시 스미스,Josh A. Smith,10946,-0.865,5
토마스 파노니,Thomas Pannone,17281,0.181,2
케니 로젠버그,Kenny Rosenberg,20009,0.187,3
파커 마켈,Parker Markel,12106,,0
에니 로메로,Enny Romero,4001,0.281,5
