선수명,english_name,birth_date,throws,nationality
조쉬 로위,Josh Lowey,1984-12-26,R,
브라울리오 라라,Braulio Lara,1988-12-20,L,
로버트 코엘로,Robert Coello,1984-11-23,R,
스콧 맥그레거,Scott McGregor,1986-12-19,R,
재크 페트릭,Zachary Bernard Petrick,1989-07-29,R,
앤서니 레나도,Anthony Ranaudo,1989-09-09,R,
팻 딘,Patrick Michael Dean,1989-05-25,L,
닉 애디튼,Nick Additon,1987-12-16,L,
제프 맨쉽,Jeff Manship,1985-01-16,R,
돈 로치,Donn Roach,1989-12-14,R,
스캇 다이아몬드,Scott Michael Diamond,1986-07-30,L,
션 오설리반,Sean Daniel O'Sullivan,1987-09-01,R,
제이크 브리검,Jake Brigham,1988-02-10,R,
세스 프랭코프,Seth Frankoff,1988-08-27,R,
팀 아델만,Timothy Max Adleman,1987-11-13,R,
리살베르토 보니야,Lisalverto Bonilla,1990-06-18,R,
타일러 윌슨,Tylor Wilson,1989-09-25,R,
펠릭스 듀브론트,Felix Antonio Doubront,1987-10-23,L,
키버스 샘슨,Keyvius Sampson,1991-01-06,R,
제이슨 휠러,Jason Wheeler,1990-10-27,L,
데이비드 헤일,David E. Hale,1987-09-27,R,
로건 베렛,Scott Logan Verrett,1990-06-19,R,
왕웨이중,Wei-Chung Wang,1992-04-25,L,
앙헬 산체스,Angel Luis Sanchez,1989-11-28,R,
덱 맥과이어,William Deck McGuire,1989-06-23,R,
저스틴 헤일리,Justin Case Haley,1991-06-16,R,
벤 라이블리,Bennett Lively,1992-03-05,R,
케이시 켈리,Casey Patrick Kelly,1989-10-04,R,
제이콥 터너,Jacob Edward Turner,1992-05-21,R,
조 윌랜드,Joseph Andrew Wieland,1990-01-21,R,
제이크 톰슨,Jake Thompson,1994-01-31,R,
브록 다익손,Brock D. Dykxhoorn,1994-07-02,R,
워릭 서폴드,Warwick Anthony Saupold,1990-01-16,R,
채드 벨,Chadwick Micah Bell,1989-02-28,L,
드류 루친스키,Andrew James Rucinski,1988-12-30,R,
에디 버틀러,Timothy Edward Butler,1991-03-13,R,
크리스천 프리드릭,Christian Louis Patrick Friedrich,1987-07-08,L,
윌리엄 쿠에바스,William Enrique Cuevas Osorio,1990-10-14,R,
라울 알칸타라,Raul Alcántara,1992-12-04,R,
에릭 요키시,Eric Spenser Jokisch,1989-07-29,L,
크리스 플렉센,Chris Flexen,1994-07-01,R,
데이비드 뷰캐넌,David Andrew Buchanan,1989-05-11,R,
애런 브룩스,Aaron Lee Brooks,1990-04-27,R,
드류 가뇽,Andrew M. Drew Gagnon,1990-06-26,R,
댄 스트레일리,Dan Straily,1988-12-01,R,
애드리안 샘슨,Adrian Sampson,1991-10-07,R,
마이크 라이트,Dennis Michael Mike Wright Jr.,1990-01-03,R,
오드리사머 데스파이네,Odrisamer Despaigne,1987-04-04,R,
닉 킹엄,Nick Kingham,1991-11-08,R,
리카르도 핀토,Ricardo Pinto,1994-01-20,R,
아리엘 미란다,Ariel Miranda,1989-01-10,L,
워커 로켓,Andrew Walker Lockett,1994-05-03,R,
앤드류 수아레즈,Andrew Jose Suarez,1992-09-11,L,
대니얼 멩덴,Daniel Joseph Mengden,1993-02-19,R,
보 다카하시,Rodrigo Hitoshi Bo Takahashi,1997-01-23,R,
앤더슨 프랑코,Enderson Daniel Franco,1992-12-29,R,
라이언 카펜터,Ryan Nicholas Carpenter,1990-08-22,L,
웨스 파슨스,Wes Parsons,1992-09-06,R,
윌머 폰트,Wilmer Font Gomez,1990-05-24,R,
아티 르위키,Artie Michael Lewicki,1992-04-08,R,
샘 가빌리오,Samuel Joseph Gaviglio,1990-05-22,R,
조시 스미스,Joshua Allen Smith,1987-08-07,R,
로버트 스탁,Robert Anthony Stock,1989-11-21,R,
브랜던 워델,Brandon David Waddell,1994-06-03,L,
앨버트 수아레즈,Albert Joe Suárez,1989-10-08,R,
로니 윌리엄스,Ronnie Ellis Williams,1996-01-06,R,
션 놀린,Sean Patrick Nolin,1989-12-26,L,
토마스 파노니,Thomas Edward Pannone Jr,1994-04-28,L,
찰리 반스,Charlie Barnes,1995-10-01,L,
글렌 스파크맨,Glenn Sparkman,1992-05-11,R,
예프리 라미레즈,Yefry Ramírez Alcala,1993-11-28,R,
펠릭스 페냐,Félix Ricardo Peña,1990-02-25,R,
맷 더모디,Matt Dermody,1990-07-04,L,
웨스 벤자민,Wes Benjamin,1993-07-26,L,
이반 노바,Iván Nova,1987-01-12,R,
숀 모리만도,Shawn Morimando,1992-11-20,L,
타일러 애플러,Tyler Austin Eppler,1993-01-05,R,
딜런 파일,Dylan Michael File,1996-06-04,R,
테일러 와이드너,Taylor Browning Widener,1994-10-24,R,
아도니스 메디나,Adonis Medina,1996-12-18,R,
숀 앤더슨,Shaun Anderson,1994-10-29,R,
마리오 산체스,Mario Sanchez,1994-10-31,R,
애런 윌커슨,Aaron Wilkerson,1989-05-24,R,
버치 스미스,Burch Taylor Smith,1990-04-12,R,
리카르도 산체스,Ricardo Jose Sánchez,1997-04-11,L,
에릭 페디,Erick James Fedde,1993-02-25,R,
태너 털리,Tanner Paul Tully,1994-11-30,L,
보 슐서,Beau Grayson Sulser,1994-05-05,R,
커크 맥카티,Kirkland Kirk McCarty,1995-10-12,L,
로에니스 엘리아스,Roenis Elías,1988-08-01,L,
아리엘 후라도,Ariel Bolívar Jurado Agrazal,1996-01-30,R,
이안 맥키니,Ian McKinney,1994-11-18,L,
시라카와 케이쇼,Keisho Shirakawa,2001-06-04,R,
조던 발라조빅,Jordan Balazovic,1998-09-17,R,
코너 시볼드,Connor Seabold,1996-01-24,R,
데니 레예스,Denyi Reyes,1996-11-02,R,
디트릭 엔스,Dietrich Arthur Enns,1991-05-16,L,
엘리에이저 에르난데스,Elieser Hernández,1995-05-03,R,
윌 크로우,William Chandler Crowe,1994-09-09,R,
캠 알드레드,Cam Alldred,1996-07-25,L,
에릭 스타우트,Eric Stout,1993-03-27,L,
에릭 라우어,Eric Lauer,1995-06-03,L,
제임스 네일,James Aubrey Naile,1993-02-08,R,
다니엘 카스타노,Daniel Alexander Castano,1994-09-17,L,
카일 하트,Kyle Patrick Hart,1992-11-23,L,
라이언 와이스,Ryan Weiss,1996-12-10,R,
하이메 바리아,Jaime Barria,1996-07-18,R,
로버트 더거,Robert Lee Dugger,1995-07-03,R,
드류 앤더슨,Andrew James Anderson,1994-03-22,R,
엔마누엘 데 헤이수스,Enmanuel Jose De Jesus,1996-12-10,L,
콜 어빈,Cole Irvin,1994-01-31,L,
잭 로그,Zach Logue,1996-04-23,L,
헤르손 가라비토,Gerson Yeris Garabito,1995-08-19,R,
요니 치리노스,Yonny Chirinos,1993-12-26,R,
앤더스 톨허스트,Anders William Tolhurst,1999-09-13,R,
애덤 올러,Adam Oller,1994-10-17,R,
터커 데이비드슨,Tucker Davidson,1996-03-25,L,
빈스 벨라스케즈,Vincent John Velasquez,1992-06-07,R,
알렉 감보아,Alec Gamboa,1997-01-17,L,
코디 폰세,Cody Ponce,1994-04-25,R,
로건 앨런,Logan Allen,1997-05-23,L,
라일리 톰프슨,Riley Thompson,1996-07-09,R,
패트릭 머피,Patrick Murphy,1995-06-10,R,
미치 화이트,Mitch White,1994-12-28,R,
케니 로젠버그,Kenny Rosenberg,1998-07-09,L,
라클란 웰스,Lachlan Robert Wells,1997-02-27,L,
C.C 메르세데스,Cristopher Crisostomo Mercedes,1994-03-08,L,
