선수명,연도,팀,대체영입여부,실전출전여부,비고,출처유형,verified_statiz,kbo_no_appearance,english_name,birth_date,birth_date_source,throws,nationality,kbo_first_year_WAR,kbo_first_year_IP,kbo_first_year_GS,kbo_first_year_ERA,kbo_first_year_FIP,kbo_first_year_WHIP,kbo_first_year_K9,kbo_first_year_BB9,asia_league_experience,asia_league_detail,nationality_source,mlb_ip_last,mlb_fip_last,mlb_k9_last,mlb_bb9_last,mlb_hr9_last,mlb_fip_minus_last,mlb_ip_3yr,mlb_fip_3yr,mlb_k9_3yr,mlb_bb9_3yr,mlb_hr9_3yr,mlb_fip_minus_3yr,mlb_career_ip,mlb_fip_minus_career,mlb_fip_davenport_translated_last,mlb_fip_davenport_translated_3yr,aaa_ip_last,aaa_fip_last,aaa_k9_last,aaa_bb9_last,aaa_hr9_last,aaa_fip_minus_last,aaa_ip_3yr,aaa_fip_3yr,aaa_k9_3yr,aaa_bb9_3yr,aaa_hr9_3yr,aaa_fip_minus_3yr,aaa_career_ip,aaa_fip_minus_career,aaa_fip_davenport_translated_last,aaa_fip_davenport_translated_3yr,mlb_ip_share,mlb_career_war,mlb_n_seasons_pre_kbo,statcast_metrics_available,n_pitch_types_recorded,kbo_first_year_G,release_date,outcome_category,resigned_next_year,resigned_as_asia_quota,age_at_kbo_entry,predicted_WAR,translation_gap,mlb_workload_spike_ratio,mlb_workload_spike_log,mlb_workload_spike_diff,aaa_workload_spike_ratio,aaa_workload_spike_log,aaa_workload_spike_diff,has_mlb_record,has_aaa_record,fip_dav_last,hr9_dav_last,bb9_dav_3yr,fip_dav_career,primary_level,primary_last_season
드류 가뇽,2020,KIA,N,Y,STATIZ 신인지명 2020 KIA와 일치,STATIZ 확인,1,0,Andrew M. Drew Gagnon,1990-06-26,statiz,R,United States,3.31,159.2,28.0,4.34,3.73,1.42,7.95,3.61,N,,wiki_provisional,23.667,8.96,6.465,2.662,4.183,208.417,35.7,7.878,6.308,3.028,3.28,186.838,35.7,186.838,7.714,6.934,88.667,4.504,7.308,1.726,1.218,89.145,332.7,4.401,8.711,2.678,1.109,91.265,477.3,98.962,4.618,4.728,0.07,-1.154,2.0,full,4,28.0,,완주-재계약안됨,N,,29.859,2.564,0.746,1.9722222222222223,0.6791609385852054,11.666666666666668,0.5623678646934461,-0.5755990797102338,-68.99999999999999,1,1,7.714,3.462,2.842,5.201,MLB,2019.0
댄 스트레일리,2020,롯데,N,Y,STATIZ 활약연도 2020-2023 롯데와 일치,STATIZ 확인,1,0,Dan Straily,1988-12-01,statiz,R,United States,8.12,194.2,31.0,2.5,2.9,1.02,9.48,2.36,N,,wiki_provisional,47.667,9.34,6.231,4.154,4.154,191.312,351.7,5.41,7.729,3.429,1.868,127.504,803.3,122.389,8.409,5.25,122.667,3.665,9.098,1.834,0.954,85.536,221.0,3.24,9.733,2.158,0.692,75.062,221.0,75.062,4.535,4.517,0.784,3.614,8.0,full,5,31.0,,완주-재계약됨(일반슬롯),Y,N,31.425,3.052,5.068,0.3896457765667575,-0.942517217794663,-74.66666666666666,3.873684210526316,1.35420604656839,91.0,1,1,8.409,3.511,3.282,4.593,MLB,2019.0
애드리안 샘슨,2020,롯데,N,Y,STATIZ 활약연도 2020 롯데와 일치,STATIZ 확인,1,0,Adrian Sampson,1991-10-07,statiz,R,United States,1.7,130.0,25.0,5.4,4.61,1.56,6.02,2.49,N,,wiki_provisional,125.333,5.687,7.253,2.585,2.082,119.176,153.0,5.825,6.941,2.412,2.176,124.379,153.0,124.379,4.927,5.062,126.667,4.345,6.039,1.705,0.853,96.186,217.0,3.952,6.346,1.535,0.705,87.944,236.0,89.557,4.736,4.295,0.393,0.122,3.0,full,3,25.0,,완주-재계약안됨,N,,28.578,2.919,-1.219,5.449275362318841,1.6954826387926352,102.33333333333331,12.666666666666668,2.538973871058276,116.66666666666669,1,1,4.927,1.674,2.414,4.708,MLB,2019.0
마이크 라이트,2020,NC,N,Y,STATIZ 활약연도 2020-2021 NC와 일치,STATIZ 확인,1,0,Dennis Michael Mike Wright Jr.,1990-01-03,statiz,R,United States,3.4,157.2,29.0,4.68,4.35,1.44,7.14,3.6,N,,wiki_provisional,29.333,5.259,9.205,3.682,1.841,111.204,138.7,4.873,8.567,3.57,1.493,108.025,258.0,118.579,4.537,4.178,58.0,3.745,8.69,2.638,0.621,69.794,217.3,3.751,7.247,2.36,0.745,92.573,447.7,92.744,3.691,4.553,0.366,-0.205,5.0,full,5,29.0,,완주-재계약안됨,N,,30.335,3.235,0.165,0.3478260869565217,-1.0560526742493137,-55.0,0.6987951807228916,-0.3583975972501785,-25.0,1,1,4.537,1.452,3.438,4.544,MLB,2019.0
오드리사머 데스파이네,2020,kt,N,Y,"STATIZ 신인지명 2020 kt와 일치, 활약연도 2020-2022",STATIZ 확인,1,0,Odrisamer Despaigne,1987-04-04,statiz,R,Cuba,4.88,207.2,34.0,4.33,4.33,1.45,6.59,2.95,N,,wiki_provisional,13.333,6.889,4.725,4.725,2.025,146.141,110.7,4.539,5.937,4.066,0.813,106.438,363.0,112.856,,,43.333,2.868,8.308,2.492,0.0,63.574,201.7,3.703,7.096,2.812,0.491,89.999,225.3,90.937,,,0.617,1.188,6.0,full,6,35.0,,완주-재계약됨(일반슬롯),Y,N,33.087,3.604,1.276,0.3418803418803419,-1.0732944806838198,-25.666666666666664,0.6190476190476191,-0.4795730802618862,-26.666666666666664,1,1,,,,,,
닉 킹엄,2020,SK,N,Y,"STATIZ에는 '킹험'으로 등록. 신인지명 2020 SK와 일치, 2021-02-01 한화 이적 확인(한화 2021 항목을 재영입으로 제외한 판단과 일치)",STATIZ 확인,1,0,Nick Kingham,1991-11-08,statiz,R,United States,-0.23,10.2,2.0,6.75,4.87,1.88,5.06,3.38,N,,wiki_provisional,55.667,5.477,7.437,4.042,1.778,121.983,131.7,5.575,7.861,3.486,1.982,132.329,131.7,132.329,5.045,5.293,2.0,18.625,4.5,9.0,9.0,381.651,177.7,3.756,7.7,2.381,0.76,99.44,297.0,97.243,18.214,4.586,0.307,-0.515,2.0,full,6,2.0,2020-07-02,조기방출,Y,N,28.49,-0.287,0.057,0.7324561403508771,-0.3113518165376857,-20.333333333333336,0.0320855614973262,-3.439349147626532,-60.333333333333336,1,1,5.045,1.454,3.375,4.832,MLB,2019.0
리카르도 핀토,2020,SK,N,Y,STATIZ 신인지명 2020 SK와 일치,STATIZ 확인,1,0,Ricardo Pinto,1994-01-20,statiz,R,Venezuela,0.43,162.0,30.0,6.17,5.58,1.78,6.22,5.0,N,,wiki_provisional,2.333,11.357,0.0,7.714,3.857,258.319,32.0,6.724,7.031,5.344,2.25,151.824,32.0,151.824,10.251,6.274,104.667,5.602,8.255,3.955,1.548,115.741,219.7,4.889,7.375,3.524,1.188,109.682,219.7,109.682,5.978,5.727,0.127,-0.525,2.0,full,2,30.0,,완주-재계약안됨,N,,26.289,1.666,-1.236,0.0786516853932584,-2.542726220676826,-27.333333333333336,1.9263803680981595,0.655642785101491,50.333333333333336,1,1,10.251,3.333,4.669,5.805,MLB,2019.0
아리엘 미란다,2021,두산,N,Y,STATIZ 신인지명 2021 두산과 일치,STATIZ 확인,1,0,Ariel Miranda,1989-01-10,statiz,L,Cuba,6.73,173.2,28.0,2.33,2.42,1.14,11.66,3.26,Y,NPB Fukuoka SoftBank Hawks 2018-2019; CPBL Chinatrust Brothers 2020 (모두 KBO 입단 이전),wiki_provisional,5.0,3.56,9.0,7.2,0.0,85.308,223.0,5.554,7.507,3.43,1.978,130.078,223.0,130.078,,,45.333,4.495,7.941,4.765,0.596,99.354,146.0,4.047,7.829,3.39,0.863,105.109,146.0,105.109,,,0.604,0.188,3.0,full,4,28.0,,완주-재계약됨(일반슬롯),Y,N,32.227,2.905,3.825,0.03125,-3.4657359027997265,-155.0,0.4503311258278146,-0.7977721316388175,-55.333333333333336,1,1,,,,,,
워커 로켓,2021,두산,N,Y,STATIZ 신인지명 2021 두산과 일치,STATIZ 확인,1,0,Andrew Walker Lockett,1994-05-03,statiz,R,United States,3.93,124.0,21.0,2.98,3.34,1.4,8.13,3.05,N,,wiki_provisional,16.333,4.538,6.061,2.204,1.102,104.611,54.0,5.915,6.5,3.333,2.0,140.398,54.0,140.398,4.173,5.494,59.0,4.065,5.949,1.678,0.763,80.456,247.7,4.652,6.904,2.071,1.127,96.335,265.7,96.524,4.214,5.064,0.169,-0.375,3.0,full,5,21.0,,완주-재계약안됨,N,,26.919,3.157,0.773,0.7205882352941175,-0.3276874070654803,-6.333333333333336,0.4424999999999999,-0.815314814534153,-74.33333333333334,1,1,4.173,1.104,3.315,5.109,MLB,2020.0
앤드류 수아레즈,2021,LG,N,Y,STATIZ 활약연도 2021 LG와 일치,STATIZ 확인,1,0,Andrew Jose Suarez,1992-09-11,statiz,L,United States,4.23,115.1,22.0,2.18,2.66,1.14,9.83,3.2,N,,wiki_provisional,9.667,5.364,4.655,5.586,0.931,125.917,202.7,4.601,7.105,2.887,1.377,116.064,202.7,116.064,5.449,4.616,88.0,5.319,5.83,3.273,1.125,97.825,193.3,4.502,7.122,3.072,0.838,89.569,193.3,89.569,5.209,4.591,0.512,0.745,3.0,full,4,23.0,,완주-재계약안됨,N,,28.559,2.592,1.638,0.2959183673469387,-1.217671648684098,-23.0,5.279999999999999,1.66392609771817,71.33333333333333,1,1,5.449,0.968,2.89,4.604,MLB,2020.0
